Name;Ligand;MolDock Score;Rerank Score;HBond
[00]lactobionic_acid;lactobionic_acid;-102.09;-33.5099;0
[00]maltitol;maltitol;-101.545;-39.2245;0
[00]L-glutathione;L-glutathione;-97.3637;-42.409;0
[03]folic_acid;folic_acid;-91.9548;-36.6831;0
[00]lactose;lactose;-90.6715;-34.8217;0
[02]EDTA;EDTA;-87.5571;-32.7012;0
[03]capsaicin;capsaicin;-86.4808;-42.828;0
[00]alitame;alitame;-86.1098;-38.815;0
[00]60846;60846;-82.6885;-18.2997;0
[00]9811834;9811834;-80.5849;-35.1281;0
[00]D-glucuronic_acid;D-glucuronic_acid;-77.3627;-34.3395;0
[00]riboflavin;riboflavin;-76.7992;-20.5339;0
[00]biotin;biotin;-74.1911;-41.2339;0
[00]pamoic_acid;pamoic_acid;-70.2229;-21.4289;0
[00]mannitol;mannitol;-70.0014;-32.5309;0
[00]hesperetin;hesperetin;-68.2089;-28.922;0
[00]L-tryptophan;L-tryptophan;-67.822;-32.4555;0
[00]azelaic_acid;azelaic_acid;-66.9391;-38.6682;0
[00]citric_acid;citric_acid;-65.2134;-33.8139;0
[00]L-arginine;L-arginine;-63.2504;-35.784;0
[00]L-glutamic_acid_z;L-glutamic_acid_z;-62.4255;-34.7517;0
[00]suberic_acid;suberic_acid;-62.3009;-35.9405;0
[01]thymidine;thymidine;-61.1361;-32.6327;0
[01]monobutyrin;monobutyrin;-60.3942;-32.5197;0
[00]L-tartaric_acid;L-tartaric_acid;-60.039;-28.0591;0
[00]pimelic_acid;pimelic_acid;-58.4188;-33.3615;0
[00]L-aspartic_acid_z;L-aspartic_acid_z;-56.1149;-29.977;0
[01]L-tyrosine;L-tyrosine;-56.0569;-26.4644;0
[03]L-glutamine;L-glutamine;-55.7983;-31.577;0
[00]D-pantothenol;D-pantothenol;-55.386;-30.1844;0
[00]adipic_acid;adipic_acid;-55.2243;-32.5963;0
[00]L-glutamic_acid;L-glutamic_acid;-54.1991;-30.8458;0
[00]ketoglutaric_acid;ketoglutaric_acid;-52.3393;-29.4546;0
[01]hippuric_acid;hippuric_acid;-52.0269;-26.1671;0
[00]L-methionine;L-methionine;-51.5891;-28.0047;0
[00](-)-camphorsulfonic_acid;(-)-camphorsulfonic_acid;-51.5519;-26.9965;0
[00]L-aspartic_acid;L-aspartic_acid;-51.4899;-27.2752;0
[00]1-hydroxyethylidene-11-diphosphonic_acid;1-hydroxyethylidene-1,1-diphosphonic_acid;-50.7411;-24.1502;0
[00]L-leucine;L-leucine;-50.7124;-27.1392;0
[00]triphenylacetic_acid;triphenylacetic_acid;-50.6086;-17.7489;0
[00]L-phenylalanine;L-phenylalanine;-50.2806;-23.3065;0
[00]malic_acid;malic_acid;-49.3315;-26.5323;0
[00]L-mandelic_acid;L-mandelic_acid;-48.7893;-26.9229;0
[00]glutaric_acid;glutaric_acid;-48.1836;-28.8825;0
[00]t-butylhydroxyanisole;t-butylhydroxyanisole;-47.9174;-27.8504;0
[00]propylparaben;propylparaben;-47.6438;-26.1312;0
[00]apigenin;apigenin;-47.2934;-18.7285;0
[00]acetylenedicarboxylic_acid;acetylenedicarboxylic_acid;-46.4069;-26.9045;0
[04]saccharin;saccharin;-46.2334;-23.4769;0
[00]xanthine;xanthine;-45.9371;-25.2608;0
[03]L-proline;L-proline;-45.4241;-25.1454;0
[00]ethylparaben;ethylparaben;-44.765;-23.4273;0
[00]2-amino-5-methylbenzoic_acid;2-amino-5-methylbenzoic_acid;-44.7607;-24.9375;0
[00]hydrocinnamic_acid;hydrocinnamic_acid;-44.5262;-25.5461;0
[00]theophylline;theophylline;-43.6849;-25.1038;0
[00]succinic_acid;succinic_acid;-43.5614;-26.003;0
[00]cholic_acid;cholic_acid;-42.7495;-7.27233;0
[00]sorbic_acid;sorbic_acid;-42.7048;-25.3579;0
[00]malonic_acid;malonic_acid;-42.2042;-24.1014;0
[01]methylparaben;methylparaben;-41.7204;-22.7382;0
[01]gentisic_acid;gentisic_acid;-41.6279;-21.6048;0
[00]4-acetamidobenzoic_acid;4-acetamidobenzoic_acid;-41.5617;-20.466;0
[00]maleic_acid;maleic_acid;-41.0306;-22.6459;0
[00]L-serine;L-serine;-40.9043;-20.8253;0
[00]fumaric_acid;fumaric_acid;-39.8809;-24.6924;0
[02]phthalamide;phthalamide;-37.7238;-9.59178;0
[00]oxalic_acid;oxalic_acid;-37.4784;-19.3825;0
[00](+)-camphoric_acid;(+)-camphoric_acid;-36.7813;-22.0483;0
[00]acetophenone_oxime;acetophenone_oxime;-35.1403;-14.675;0
[00]4-hydroxybenzoic_acid;4-hydroxybenzoic_acid;-35.135;-19.6685;0
[00]4-aminobenzoic_acid;4-aminobenzoic_acid;-34.9449;-19.7114;0
[00]L-lactic_acid;L-lactic_acid;-34.5722;-18.8322;0
[01]D-alanine;D-alanine;-33.8689;-18.9812;0
[01]acesulfame;acesulfame;-33.7295;-22.9689;0
[00]glycolic_acid;glycolic_acid;-32.7672;-17.3715;0
[00]glycine;glycine;-32.7642;-17.6258;0
[00]N-ethylacetamide;N-ethylacetamide;-32.676;-20.0885;0
[00]caprolactam;caprolactam;-31.9105;-19.8428;0
[00]benzoic_acid;benzoic_acid;-31.5841;-17.9014;0
[00]isonicotinamide;isonicotinamide;-30.4983;-16.5758;0
[00]nicotinamide;nicotinamide;-30.2206;-16.7249;0
[00]valerolactam;valerolactam;-30.0239;-19.0437;0
[00]imidazole;imidazole;-28.1172;-16.9266;0
[00]3-methylpyridine;3-methylpyridine;-28.0047;-16.8779;0
[00]methanesulfonic_acid;methanesulfonic_acid;-27.7051;-16.6785;0
[03]t-butylamine;t-butylamine;-27.5106;-16.5614;0
[00]acetic_acid;acetic_acid;-24.2444;-14.5951;0
[01]urea;urea;-23.5562;-14.1843;0
[00]piperazine;piperazine;-22.7908;-15.2971;0
[00]pyrazine;pyrazine;-20.0521;-10.5957;0
