Name;Ligand;MolDock Score;Rerank Score;HBond
[00]lactobionic_acid;lactobionic_acid;-107.411;-31.5562;0
[00]maltitol;maltitol;-102.379;-39.774;0
[00]UNK0-GLU1;UNK0-GLU1;-100.491;-45.013;0
[00]lactose;lactose;-97.6312;-42.6785;0
[00]UNK1-GLY2;UNK1-GLY2;-96.2144;-45.8339;0
[00]alitame;alitame;-89.1052;-44.4345;0
[00]EDTA;EDTA;-86.8486;-34.5057;0
[00]co-former-valsartan_PM6.out;co-former-valsartan_PM6.out;-83.0173;-25.7662;0
[00]riboflavin;riboflavin;-80.5431;-36.4964;0
[00]capsaicin;capsaicin;-79.7509;-39.3332;0
[00]pamoic_acid;pamoic_acid;-77.9827;-34.0823;0
[01]drug-sacubitril_PM6.out;drug-sacubitril_PM6.out;-76.8786;-37.8627;0
[00]D-glucuronic_acid;D-glucuronic_acid;-72.8354;-30.8367;0
[01]biotin;biotin;-68.3693;-37.343;0
[00]L-tryptophan;L-tryptophan;-67.9562;-34.5462;0
[00]mannitol;mannitol;-67.6266;-31.4782;0
[00]hesperetin;hesperetin;-67.5236;-32.0946;0
[00]thymidine;thymidine;-63.9167;-35.9906;0
[00]cholic_acid;cholic_acid;-61.8598;-26.8519;0
[00]L-arginine;L-arginine;-61.4997;-34.9015;0
[00]azelaic_acid;azelaic_acid;-61.2815;-33.4826;0
[00]citric_acid;citric_acid;-61.0981;-31.925;0
[00]L-glutamic_acid_z;L-glutamic_acid_z;-60.9855;-33.6536;0
[00]suberic_acid;suberic_acid;-60.4276;-35.5493;0
[03]L-aspartic_acid_z;L-aspartic_acid_z;-60.1921;-32.1078;0
[00]monobutyrin;monobutyrin;-57.8532;-29.8771;0
[00]L-tartaric_acid;L-tartaric_acid;-57.8066;-26.5869;0
[00]L-glutamine;L-glutamine;-54.9919;-30.6132;0
[00]hippuric_acid;hippuric_acid;-54.514;-29.4555;0
[00]pimelic_acid;pimelic_acid;-54.4704;-31.8352;0
[01]D-pantothenol;D-pantothenol;-53.9138;-29.1174;0
[00]L-tyrosine;L-tyrosine;-53.8225;-27.007;0
[00]L-glutamic_acid;L-glutamic_acid;-53.3383;-30.1584;0
[00]1-hydroxyethylidene-11-diphosphonic_acid;1-hydroxyethylidene-1,1-diphosphonic_acid;-53.2879;-23.2736;0
[00]L-aspartic_acid;L-aspartic_acid;-52.1069;-28.5123;0
[00]apigenin;apigenin;-51.8423;-21.7637;0
[00]malic_acid;malic_acid;-51.603;-28.276;0
[00]adipic_acid;adipic_acid;-51.3366;-30.2727;0
[00]L-leucine;L-leucine;-51.2509;-27.4406;0
[00]ketoglutaric_acid;ketoglutaric_acid;-51.0947;-28.8215;0
[00]xanthine;xanthine;-49.1376;-27.2946;0
[00]L-phenylalanine;L-phenylalanine;-48.7313;-24.8225;0
[00]acetylenedicarboxylic_acid;acetylenedicarboxylic_acid;-47.7615;-27.7439;0
[00]L-methionine;L-methionine;-47.6386;-25.4845;0
[00]glutaric_acid;glutaric_acid;-47.5545;-28.074;0
[01]triphenylacetic_acid;triphenylacetic_acid;-47.2698;-21.0868;0
[00]saccharin;saccharin;-46.8174;-25.3304;0
[00]propylparaben;propylparaben;-46.563;-24.3148;0
[00]hydrocinnamic_acid;hydrocinnamic_acid;-45.9068;-26.3288;0
[00]L-mandelic_acid;L-mandelic_acid;-45.5539;-25.3787;0
[00]2-amino-5-methylbenzoic_acid;2-amino-5-methylbenzoic_acid;-44.4;-24.9807;0
[03]theophylline;theophylline;-44.3564;-26.5028;0
[00]L-proline;L-proline;-44.1039;-23.7841;0
[00]gentisic_acid;gentisic_acid;-44.0287;-24.0068;0
[00]t-butylhydroxyanisole;t-butylhydroxyanisole;-43.6112;-24.7226;0
[00]acesulfame;acesulfame;-43.3599;-25.5619;0
[00]L-serine;L-serine;-43.2302;-22.5408;0
[00]succinic_acid;succinic_acid;-43.0162;-25.8429;0
[00]ethylparaben;ethylparaben;-42.7952;-25.3851;0
[00]sorbic_acid;sorbic_acid;-42.7492;-25.5662;0
[00]fumaric_acid;fumaric_acid;-41.7788;-25.4644;0
[03](-)-camphorsulfonic_acid;(-)-camphorsulfonic_acid;-40.6598;-23.2248;0
[00]malonic_acid;malonic_acid;-40.0468;-23.2778;0
[00]4-acetamidobenzoic_acid;4-acetamidobenzoic_acid;-39.8729;-19.0436;0
[00]oxalic_acid;oxalic_acid;-38.7917;-20.0657;0
[00]phthalamide;phthalamide;-38.5742;-9.79225;0
[00]methylparaben;methylparaben;-37.0778;-21.3106;0
[00]4-aminobenzoic_acid;4-aminobenzoic_acid;-36.8113;-22.1548;0
[00]4-hydroxybenzoic_acid;4-hydroxybenzoic_acid;-36.5745;-22.1187;0
[02]D-alanine;D-alanine;-35.1034;-19.5201;0
[00]glycine;glycine;-34.6272;-18.6667;0
[00]glycolic_acid;glycolic_acid;-34.4945;-18.5785;0
[01]L-lactic_acid;L-lactic_acid;-34.4594;-19.281;0
[00]maleic_acid;maleic_acid;-33.9547;-16.093;0
[00]nicotinamide;nicotinamide;-33.687;-21.3764;0
[01]benzoic_acid;benzoic_acid;-33.498;-20.8464;0
[00]acetophenone_oxime;acetophenone_oxime;-33.4705;-13.8148;0
[03]isonicotinamide;isonicotinamide;-33.4437;-21.2452;0
[01]N-ethylacetamide;N-ethylacetamide;-32.687;-20.1216;0
[00](+)-camphoric_acid;(+)-camphoric_acid;-31.9035;-19.1981;0
[00]caprolactam;caprolactam;-31.2685;-19.6629;0
[01]valerolactam;valerolactam;-29.1872;-18.5576;0
[00]imidazole;imidazole;-29.1792;-17.5659;0
[00]3-methylpyridine;3-methylpyridine;-27.5165;-16.882;0
[02]t-butylamine;t-butylamine;-27.4505;-16.5252;0
[04]methanesulfonic_acid;methanesulfonic_acid;-27.0695;-16.2958;0
[00]urea;urea;-25.1878;-15.1664;0
[00]acetic_acid;acetic_acid;-25.0147;-15.0588;0
[00]piperazine;piperazine;-23.3833;-15.6639;0
[03]pyrazine;pyrazine;-20.8683;-13.1679;0
