drug	co-former	type	id	spg	ratio	mol1	mol2	atoms (unit cell)	relax	volume (Ang^3)	enthalpy	enthalpy (eV)/ atoms	spg n°	corrigido spg	origin	output
sacubitril	lactose	PM6	2	12	1:1	1	1	104	TRUE	3488.286	-27209.319	-261.628	5	-130.814	CONTROL-sacubitril-lactose-PM6	Structure 2 built (Z = 0  3) with the symmetry 12 (A2/m)
sacubitril	lactose	PM6	2	2	1:1	1	1	104	TRUE	2525.871	-27201.131	-261.549	4	-130.775	02-sacubitril-lactose-PM6	Structure 2 built (Z = 0  5) with the symmetry 2 (P-1)
sacubitril	folic_acid	PM6	3	12	1:1	1	1	110	TRUE	3726.258	-28718.741	-261.079	5		etapa2-anguirel	Structure 3 built (Z = 2  2) with the symmetry 12 (A2/m)
sacubitril	maltitol	PM6	3	2	1:1	1	1	106	TRUE	3178.748	-27271.714	-257.280	2		etapa2-anguirel	Structure 3 built (Z = 2  2) with the symmetry 2 (P-1)
sacubitril	Lglutathione	INIT	6	5	1:1	1	1	96	TRUE	2720.492	-24268.598	-252.798	4		etapa2-anguirel	Structure 6 built (Z = 2  1) with the symmetry 5 (A2)
sacubitril	hesperetin	PM6	9	2	1:1	1	1	95	TRUE	4025.416	-23855.567	-251.111	5	-125.556	CONTROL2-sacubitril-hesperetin-PM6	Structure 9 built (Z = 1  4) with the symmetry 2 (P-1)
sacubitril	pamoic_acid	PM6	2	5	1:1	1	1	104	TRUE	3479.626	-26086.199	-250.829	5		etapa2-anguirel	Structure 2 built (Z = 0  3) with the symmetry 5 (A2)
sacubitril	pamoic_acid	PM6	3	2	1:1	1	1	104	TRUE	3479.477	-26083.857	-250.806	2		etapa2-anguirel	Structure 3 built (Z = 2  1) with the symmetry 2 (P-1)
sacubitril	valsartan	PM6	11	5	1:1	1	1	120	TRUE	4977.595	-26918.738	-224.323	5	-112.161	CONTROL-sacubitril-valsartan-PM6-16	Structure 11 built (Z = 2  2) with the symmetry 5 (A2)
sacubitril	valsartan	PM6	4	2	1:1	1	1	120	TRUE	4270.355	-26917.729	-224.314	5	-112.157	CONTROL-sacubitril-valsartan-PM6-10	Structure 4 built (Z = 2  1) with the symmetry 2 (P-1)
sacubitril	valsartan	PM6	12	5	1:1	1	1	120	TRUE	4977.767	-26915.851	-224.299	5	-112.149	CONTROL-sacubitril-valsartan-PM6-16	Structure 12 built (Z = 0  3) with the symmetry 5 (A2)
sacubitril	valsartan	PM6	8	2	1:1	1	1	120	TRUE	3973.926	-26899.98	-224.167	5	-112.083	CONTROL-sacubitril-valsartan-PM6-16	Structure 8 built (Z = 4  0) with the symmetry 2 (P-1)
sacubitril	lactose	PM6	5	12	1:4	1	4	239	TRUE	5010.053	-34547.555	-144.550	1	-144.550	CONTROL2-sacubitril-lactose-PM6	Structure 5 built (Z = 1  2) with the symmetry 12 (A2/m)
sacubitril	lactose	PM6	3	2	1:3	1	3	194	TRUE	3906.449	-27566.203	-142.094	1	-142.094	CONTROL-sacubitril-lactose-PM6	Structure 3 built (Z = 1  2) with the symmetry 2 (P-1)
sacubitril	folic_acid	PM6	4	2	1:3	1	3	212	TRUE	3632.693	-29840.085	-140.755	1		etapa2-anguirel	Structure 4 built (Z = 2  1) with the symmetry 2 (P-1)
sacubitril	maltitol	PM6	4	12	1:3	1	3	200	TRUE	3026.002	-27663.153	-138.316	1		etapa2-anguirel	Structure 4 built (Z = 1  3) with the symmetry 12 (A2/m)
sacubitril	lactose	PM6	7	5	1:2	1	2	149	TRUE	2520.068	-20579.468	-138.117	1	-138.117	CONTROL-sacubitril-lactose-PM6	Structure 7 built (Z = 1  3) with the symmetry 5 (A2)
sacubitril	folic_acid	PM6	10	2	1:2	1	2	161	TRUE	3448.841	-22093.232	-137.225	1		etapa2-anguirel	Structure 10 built (Z = 3  1) with the symmetry 2 (P-1)
sacubitril	hesperetin	PM6	8	5	1:4	1	4	203	TRUE	4412.824	-27838.704	-137.136	1	-137.136	CONTROL2-sacubitril-hesperetin-PM6	Structure 8 built (Z = 2  2) with the symmetry 5 (A2)
sacubitril	Lglutathione	INIT	8	12	1:3	1	3	170	TRUE	2457.946	-23158.194	-136.225	1		etapa2-anguirel	Structure 8 built (Z = 0  4) with the symmetry 12 (A2/m)
sacubitril	lactose	PM6	4	5	2:3	2	3	253	TRUE	5247.306	-34189.296	-135.136	1	-135.136	CONTROL2-sacubitril-lactose-PM6	Structure 4 built (Z = 2  3) with the symmetry 5 (A2)
sacubitril	lactose	PM6	3	9	2:3	2	3	253	TRUE	5247.32	-34188.199	-135.131	1	-135.131	CONTROL2-sacubitril-lactose-PM6	Structure 3 built (Z = 2  2) with the symmetry 9 (Aa)
sacubitril	maltitol	PM6	9	2	1:2	1	2	153	TRUE	2694.111	-20648.02	-134.954	1		etapa2-anguirel	Structure 9 built (Z = 4  0) with the symmetry 2 (P-1)
sacubitril	hesperetin	PM6	11	5	1:3	1	3	167	TRUE	3612.967	-22535.15	-134.941	1	-134.941	CONTROL2-sacubitril-hesperetin-PM6	Structure 11 built (Z = 3  0) with the symmetry 5 (A2)
sacubitril	hesperetin	PM6	3	5	1:3	1	3	167	TRUE	2814.78	-22527.321	-134.894	1	-134.894	CONTROL-sacubitril-hesperetin-PM6	Structure 3 built (Z = 1  3) with the symmetry 5 (A2)
sacubitril	Lglutathione	INIT	12	2	1:2	1	2	133	TRUE	1909.111	-17648.9	-132.698	1		etapa2-anguirel	Structure 12 built (Z = 0  3) with the symmetry 2 (P-1)
sacubitril	riboflavin	PM6	4	2	1:3	1	3	200	TRUE	3465.79	-26533.743	-132.669	1		etapa2-anguirel	Structure 4 built (Z = 1  3) with the symmetry 2 (P-1)
