SCF steps;Enthalpy (Ry);Volume (Ang^3);Density (g/cm^3);SCF Interations;CPU Time (h)
159;-3840.7484623479;1928.81453;2.91680;12;7.8
160;-3840.7555254917;1928.27971;2.91761;11;5.5
161;-3840.7621481442;1927.80952;2.91832;11;5.4
162;-3840.7688444920;1927.53821;2.91873;11;5.1
163;-3840.7760912480;1927.54052;2.91873;11;5.8
164;-3840.7835013766;1927.98416;2.91806;11;5.8
165;-3840.7905581882;1928.61648;2.91710;11;5.5
166;-3840.7970884233;1929.39615;2.91592;11;5.4
167;-3840.8033787212;1929.99212;2.91502;11;5.7
168;-3840.8096759930;1930.42835;2.91436;11;5.1
169;-3840.8160130359;1930.44628;2.91434;11;5.0
170;-3840.8221789731;1930.28079;2.91459;11;5.0
171;-3840.8280743412;1929.90184;2.91516;10;4.6
172;-3840.8336665967;1929.63103;2.91557;11;5.4
173;-3840.8390937108;1929.45187;2.91584;11;5.0
174;-3840.8446143267;1929.51193;2.91575;11;5.0
175;-3840.8507634884;1929.76170;2.91537;11;5.4
176;-3840.8578276593;1930.17943;2.91474;11;5.6
177;-3840.8655297056;1930.59457;2.91411;12;6.2
178;-3840.8732552777;1931.10706;2.91334;11;5.7
179;-3840.8797118256;1931.15355;2.91327;12;6.9
180;-3840.8870826811;1931.13128;2.91330;11;6.0
181;-3840.8951206470;1930.95376;2.91357;11;5.4
182;-3840.9046692122;1930.81352;2.91378;11;5.5
183;-3840.9163984449;1930.39292;2.91442;11;6.2
184;-3840.9274357323;1930.19809;2.91471;12;6.9
185;-3840.9367693817;1929.86360;2.91522;11;5.7
186;-3840.9511125562;1929.62003;2.91558;11;6.3
187;-3840.9641496121;1929.74473;2.91540;11;6.5
188;-3840.9666642913;1929.66518;2.91552;12;7.5
189;-3840.9803982031;1929.83288;2.91526;11;6.3
190;-3840.9896842903;1929.86596;2.91521;10;4.3
191;-3840.9943456592;1929.95946;2.91507;10;4.4
192;-3840.9995334012;1930.05942;2.91492;10;4.2
193;-3841.0062115360;1930.24689;2.91464;11;4.8
194;-3841.0146721282;1930.51042;2.91424;11;5.1
195;-3841.0240643061;1930.72440;2.91392;11;6.1
196;-3841.0300213639;1930.76709;2.91385;11;5.5
197;-3841.0376761562;1930.52195;2.91422;11;5.9
198;-3841.0480178771;1929.94989;2.91509;11;6.0
1;-3500.4000100816;9670.66949;0.58176;21;17.5
2;-3513.4218489283;9262.34103;0.60740;16;12.2
3;-3531.8681389731;8848.65181;0.63580;22;16.3
4;-3550.3294216054;8456.78588;0.66526;22;16.2
5;-3567.6740089700;8089.54919;0.69546;22;16.8
6;-3583.8213339190;7746.00706;0.72631;22;16.5
7;-3598.8329425161;7424.22507;0.75779;21;16.2
8;-3612.8361744469;7124.86680;0.78962;21;16.7
9;-3625.8029534734;6843.30369;0.82211;20;16.1
10;-3637.9496584598;6581.38472;0.85483;20;16.2
11;-3649.2100723179;6335.14147;0.88806;12;9.6
12;-3659.7457691258;6105.18210;0.92151;20;15.2
13;-3669.5578600434;5888.58771;0.95540;20;15.6
14;-3678.7505913057;5685.30810;0.98956;20;15.8
15;-3687.3517868005;5492.99860;1.02421;20;15.4
16;-3695.4437914134;5311.82809;1.05914;19;14.8
17;-3703.0346812702;5139.57763;1.09464;17;13.7
18;-3710.2125208925;4976.69366;1.13046;17;13.5
45;-3817.1774049074;2178.08363;2.58299;35;20.9
46;-3818.5487350475;2175.63053;2.58590;31;18.5
47;-3819.6858610626;2138.17585;2.63120;26;13.4
48;-3820.9553180339;2093.32532;2.68758;31;16.7
49;-3822.2768839612;2050.12542;2.74421;34;18.7
50;-3823.4200911144;2048.44137;2.74646;38;20.6
51;-3824.2240511389;2056.15586;2.73616;25;13.3
52;-3825.1144164332;2059.58757;2.73160;24;12.9
53;-3825.7418756352;2076.54584;2.70929;25;14.3
54;-3826.5358218316;2060.29640;2.73066;28;16.6
55;-3827.1272522083;2055.71840;2.73674;27;16.3
56;-3827.6818497828;2038.14178;2.76034;24;14.6
57;-3828.2051208379;2034.04291;2.76591;27;15.9
58;-3828.6728606964;2026.04649;2.77682;26;13.8
59;-3829.1959332381;2022.15642;2.78216;27;14.1
60;-3829.7612848492;2020.39017;2.78460;26;15.8
61;-3830.2943233955;2017.09425;2.78915;26;16.4
62;-3830.8487924636;2009.93557;2.79908;25;13.4
63;-3831.3564914450;2002.02310;2.81014;26;13.0
64;-3831.7047492776;1986.66475;2.83187;25;13.6
65;-3832.0957786880;1983.63168;2.83620;25;14.7
66;-3832.4080644706;1974.36205;2.84951;23;11.7
67;-3832.7653299997;1972.24435;2.85257;25;13.1
68;-3833.1274688331;1972.17690;2.85267;26;13.3
69;-3833.3301251922;1973.13952;2.85128;21;10.9
70;-3833.5491701906;1969.36748;2.85674;20;10.5
71;-3833.7988062735;1964.43689;2.86391;22;11.6
72;-3834.0221079022;1958.85214;2.87208;26;13.0
73;-3834.2276647710;1955.32782;2.87725;25;12.8
74;-3834.4754118781;1949.83728;2.88535;25;12.5
75;-3834.7074084694;1942.58851;2.89612;25;12.7
76;-3834.9246779560;1947.75908;2.88843;28;14.1
77;-3835.1741026970;1946.94117;2.88965;23;12.0
78;-3835.3959052267;1955.65952;2.87676;23;11.6
79;-3835.6430348704;1954.98379;2.87776;23;12.1
80;-3835.7665994910;1959.89003;2.87055;23;11.8
81;-3835.9155334489;1955.97124;2.87631;26;12.8
82;-3836.0211906718;1952.40874;2.88155;23;11.7
83;-3836.1185360718;1953.47096;2.87999;22;11.1
84;-3836.2096251991;1952.27318;2.88175;24;11.8
85;-3836.2999697706;1955.40435;2.87714;24;12.1
86;-3836.3922784714;1953.36296;2.88015;24;11.9
87;-3836.4774641632;1953.32797;2.88020;23;12.0
88;-3836.5628924473;1949.30721;2.88614;23;11.5
89;-3836.6471990904;1946.75137;2.88993;24;12.0
90;-3836.7275361996;1943.83161;2.89427;26;12.8
91;-3836.8130562740;1942.30692;2.89654;24;12.0
92;-3836.8949717756;1943.02830;2.89547;27;13.1
93;-3836.9780123992;1943.98788;2.89404;23;11.6
94;-3837.0462222764;1945.21538;2.89221;28;13.6
95;-3837.1156469886;1944.81801;2.89280;27;13.2
96;-3837.1826218741;1943.92829;2.89412;28;13.8
97;-3837.2646964158;1941.12685;2.89830;29;13.9
98;-3837.3295257540;1938.94609;2.90156;30;14.5
99;-3837.4105768055;1937.71979;2.90340;23;11.7
100;-3837.4812421396;1937.81056;2.90326;27;13.9
101;-3837.5619374632;1937.55916;2.90364;31;14.9
102;-3837.6361019842;1937.98378;2.90300;43;19.6
103;-3837.7245314860;1939.97372;2.90002;30;15.3
104;-3837.8195637749;1940.35549;2.89945;24;12.9
105;-3837.9213647387;1940.17008;2.89973;27;14.2
106;-3838.0116623180;1938.75578;2.90185;24;12.8
107;-3838.0998971275;1937.81549;2.90325;26;13.9
108;-3838.1890538798;1936.23619;2.90562;27;14.4
109;-3838.2496786831;1936.79944;2.90478;24;12.8
110;-3838.3137218797;1936.95929;2.90454;23;12.3
111;-3838.3751336422;1937.10284;2.90432;25;13.8
112;-3838.4284895109;1936.91988;2.90460;24;13.3
113;-3838.4774598273;1936.26960;2.90557;23;12.5
114;-3838.5275964711;1935.04339;2.90741;25;13.9
115;-3838.5812715385;1933.93792;2.90908;23;13.1
116;-3838.6383656029;1931.77761;2.91233;26;14.4
117;-3838.7062991856;1930.12945;2.91482;20;11.5
118;-3838.7704415710;1927.68520;2.91851;22;12.6
119;-3838.8483142660;1927.44482;2.91888;22;12.7
120;-3838.9151093863;1929.58918;2.91563;22;12.6
121;-3838.9711723835;1930.16355;2.91476;19;11.3
122;-3839.0045315388;1932.56056;2.91115;20;12.0
123;-3839.0479390190;1932.49168;2.91125;19;11.1
124;-3839.0888366694;1932.77027;2.91083;16;9.3
125;-3839.1435092471;1931.69811;2.91245;19;11.1
126;-3839.1975064591;1929.32878;2.91603;19;11.3
127;-3839.2640765673;1926.12641;2.92087;19;10.5
128;-3839.3435632862;1923.40360;2.92501;16;9.0
129;-3839.4372312060;1923.11783;2.92544;14;8.9
130;-3839.5243897505;1924.41207;2.92348;13;7.8
131;-3839.6255775865;1927.52971;2.91875;14;8.3
132;-3839.7326736051;1931.05985;2.91341;12;7.8
133;-3839.8411736702;1937.43647;2.90382;12;7.5
134;-3839.9452010122;1938.56134;2.90214;12;7.8
135;-3840.0503922051;1938.00361;2.90297;12;7.7
136;-3840.2039154118;1936.97089;2.90452;10;6.5
137;-3840.3094987287;1935.85370;2.90620;11;6.8
138;-3840.3801186528;1934.68380;2.90795;11;6.9
139;-3840.4180940800;1932.98947;2.91050;11;6.2
140;-3840.4676930974;1931.62434;2.91256;11;6.8
141;-3840.4974275897;1930.55196;2.91418;10;5.8
142;-3840.5286434271;1928.90302;2.91667;11;6.4
143;-3840.5536700708;1929.25097;2.91614;11;7.9
144;-3840.5747052888;1929.17376;2.91626;11;5.9
145;-3840.5941564499;1930.34863;2.91448;10;5.3
146;-3840.6150875218;1931.00148;2.91350;11;6.1
147;-3840.6343027565;1931.72828;2.91240;11;6.1
148;-3840.6504935029;1931.50220;2.91274;11;5.9
149;-3840.6634480827;1931.19113;2.91321;11;5.6
150;-3840.6745760006;1930.28409;2.91458;11;6.0
151;-3840.6850056427;1929.74258;2.91540;11;5.9
152;-3840.6946611713;1929.04640;2.91645;11;5.5
153;-3840.7034162827;1929.05145;2.91644;11;5.5
154;-3840.7114832100;1928.91989;2.91664;11;5.9
155;-3840.7190225454;1929.32828;2.91603;11;5.9
156;-3840.7261843521;1929.39297;2.91593;11;5.5
157;-3840.7334388268;1929.53671;2.91571;11;5.4
158;-3840.7409390661;1929.22768;2.91618;11;5.5
19;-3716.9614586615;4820.95858;1.16698;12;9.0
20;-3723.3767909949;4673.03776;1.20392;17;13.6
21;-3729.4267431065;4530.76838;1.24173;17;13.0
22;-3735.2052745581;4394.85028;1.28013;19;14.4
23;-3740.6784817483;4263.48256;1.31957;18;13.8
24;-3745.9216333502;4137.01702;1.35991;19;14.4
25;-3750.9170323294;4014.25402;1.40150;19;14.3
26;-3755.7102708858;3895.01754;1.44440;19;14.4
27;-3760.3060116676;3778.61092;1.48890;20;14.6
28;-3764.7238993244;3664.41284;1.53530;20;14.9
29;-3768.9856104357;3552.08520;1.58385;20;14.5
30;-3773.0905618437;3440.63788;1.63515;20;14.7
31;-3777.0737080295;3330.01345;1.68947;20;15.2
32;-3780.9160615522;3218.83689;1.74783;20;15.2
33;-3784.6645615235;3107.22011;1.81061;21;15.9
34;-3788.2830646346;2993.45390;1.87942;21;15.8
35;-3791.8229469553;2877.43333;1.95520;21;16.2
36;-3795.2396460158;2757.26431;2.04042;22;16.5
37;-3798.5695325231;2631.86284;2.13764;23;17.2
38;-3801.7700753333;2499.14449;2.25116;28;19.5
39;-3804.8207071367;2354.26444;2.38969;29;19.9
40;-3807.6567663954;2182.55442;2.57770;32;20.9
41;-3810.1221779986;2114.66265;2.66046;36;21.3
42;-3811.4935534647;2080.38160;2.70430;33;19.6
43;-3813.4220059271;2100.10611;2.67890;34;19.6
44;-3815.5623650338;2142.43942;2.62597;32;17.8
