SCF steps;Enthalpy (Ry);Volume (Ang^3);Density (g/cm^3);SCF Interations;CPU Time (h)
81;-3837.5850871933;1945.52513;2.89175;34;14.7
82;-3837.7643949570;1945.11993;2.89235;37;15.4
83;-3837.8832606658;1947.15226;2.88933;27;11.9
84;-3838.0192525805;1948.10394;2.88792;24;11.0
85;-3838.1151653295;1952.93578;2.88078;22;10.0
86;-3838.2636867363;1952.06313;2.88206;22;9.7
87;-3838.3184685800;1951.47945;2.88293;21;10.3
88;-3838.4013181857;1950.02186;2.88508;20;8.8
89;-3838.5198183831;1947.24922;2.88919;18;7.8
90;-3838.6657226063;1943.90813;2.89415;21;9.4
91;-3838.8112257901;1942.96928;2.89555;24;10.2
92;-3838.9178570162;1941.43226;2.89785;17;7.2
93;-3839.0272313901;1940.46536;2.89929;20;8.2
94;-3839.1821449147;1937.97632;2.90301;24;9.9
95;-3839.3276290322;1938.83354;2.90173;24;9.7
96;-3839.4165141346;1938.32185;2.90250;22;8.9
97;-3839.5117561107;1937.68843;2.90344;21;8.8
98;-3839.6148842387;1939.37683;2.90092;21;8.8
99;-3839.7110613748;1937.10004;2.90433;22;9.0
100;-3839.7870891670;1937.40017;2.90388;23;9.3
101;-3839.8482745719;1937.14835;2.90425;21;8.6
102;-3839.9079079565;1937.19723;2.90418;21;8.6
103;-3839.9690150825;1937.93348;2.90308;22;9.0
104;-3840.0274523994;1936.92609;2.90459;21;8.8
105;-3840.0809308184;1936.15442;2.90575;20;8.4
106;-3840.1261040263;1934.47323;2.90827;22;8.8
107;-3840.1623833368;1933.34562;2.90997;19;7.5
108;-3840.1920631383;1932.10294;2.91184;18;7.7
109;-3840.2207140219;1932.18145;2.91172;20;8.3
110;-3840.2458883143;1932.15501;2.91176;21;8.3
111;-3840.2724026993;1932.23911;2.91163;20;7.9
112;-3840.2972636614;1931.18692;2.91322;20;8.2
113;-3840.3239044391;1929.34561;2.91600;21;9.2
14;-3736.6049200387;4247.12611;1.32465;13;15.8
15;-3745.4523947845;4016.56739;1.40069;21;27.6
29;-3814.7706119670;2191.74289;2.56689;43;13.9
30;-3816.8539147932;2185.70990;2.57398;32;11.0
31;-3818.6230304793;2121.40705;2.65200;30;9.2
32;-3820.2553602067;2045.12654;2.75092;32;10.9
33;-3821.7087178478;2005.59041;2.80514;34;10.5
34;-3822.8427834493;1993.78221;2.82176;31;9.2
35;-3823.8230291316;2008.37355;2.80126;27;8.4
36;-3824.7878295331;2030.99689;2.77005;31;9.4
37;-3825.5771249401;2062.42010;2.72785;33;9.8
38;-3826.3907467458;2051.23911;2.74272;34;10.4
39;-3827.0024511649;2049.73390;2.74473;30;9.2
40;-3827.8168346971;2017.44544;2.78866;27;8.9
41;-3828.4067619888;2004.67445;2.80643;29;9.1
42;-3829.0092282361;2002.65548;2.80926;27;8.7
43;-3829.5995752250;2010.23530;2.79866;24;7.7
44;-3830.0318848924;2018.11761;2.78773;23;7.3
45;-3830.4548769279;2022.28465;2.78199;26;8.0
46;-3830.7534595591;2013.95546;2.79349;27;8.4
152;-3841.4211772761;1913.82674;2.93964;28;13.0
153;-3841.4260142722;1913.69492;2.93985;21;7.7
50;-3832.2402836808;1969.34351;2.85677;36;11.7
51;-3832.6514561291;1970.54020;2.85504;28;10.4
52;-3833.0710907453;1975.73657;2.84753;32;10.7
53;-3833.4058248503;1981.09677;2.83983;43;14.1
54;-3833.7096667362;1978.03217;2.84423;72;21.7
55;-3833.9908807468;1980.06050;2.84131;60;17.9
56;-3834.2325368424;1974.34573;2.84954;31;10.2
57;-3834.4556154913;1974.16111;2.84980;23;7.8
58;-3834.6993765123;1975.07188;2.84849;26;8.5
59;-3834.8206524250;1978.64829;2.84334;26;9.1
60;-3834.9447031830;1980.58011;2.84057;26;8.8
61;-3835.0872300830;1982.06030;2.83845;26;9.1
62;-3835.2016912242;1979.07384;2.84273;27;9.2
63;-3835.3170379900;1974.35450;2.84952;29;9.2
64;-3835.4668298107;1967.93747;2.85882;31;10.9
65;-3835.6006866006;1964.10293;2.86440;30;10.1
66;-3835.7313699631;1961.63957;2.86799;29;10.1
67;-3835.8631216514;1962.57870;2.86662;29;10.0
68;-3835.9952862831;1963.99955;2.86455;29;10.1
69;-3836.1145159077;1965.07542;2.86298;30;10.7
70;-3836.2198796308;1963.45410;2.86534;33;11.1
71;-3836.3314726451;1959.58622;2.87100;72;21.1
72;-3836.4408229969;1954.68576;2.87820;35;11.8
73;-3836.5787583871;1950.72915;2.88404;33;11.7
74;-3836.7129782605;1952.86922;2.88087;49;15.7
75;-3836.8471149239;1953.86240;2.87941;29;10.3
76;-3836.9854156172;1959.09062;2.87173;29;9.6
77;-3837.0750074780;1958.42232;2.87271;32;10.7
78;-3837.1889564451;1954.99673;2.87774;29;10.5
